time,FLOW,TEMP,SALT,AirTemp,Rain,type,inflow_num
2018-10-05,0.0061,19.1873,0,20.030652618408226,0.0038232000173593407,inflow,1
2018-10-06,0.0082,19.1369,0,21.370351409912132,6.480000032752288e-4,inflow,1
2018-10-07,0.0091,19.1468,0,19.83982111612958,0.0019871999753377167,inflow,1
2018-10-08,0.0104,19.0906,0,20.41897354125979,0.0017279999956372194,inflow,1
2018-10-09,0.0115,19.0625,0,19.962492879231792,0.004255200026091188,inflow,1
2018-10-10,0.0135,19.0164,0,20.48372675577802,0.0011880000191013095,inflow,1
2018-10-11,0.0143,18.9953,0,19.603077189127628,0.04773599978616403,inflow,1
2018-10-12,0.0312,18.9378,0,17.61318105061851,0.01604880020749988,inflow,1
2018-10-13,0.0362,18.7985,0,6.671702321370465,0,inflow,1
2018-10-14,0.0354,18.1991,0,5.491704559326195,0,inflow,1
2018-10-15,0.0347,17.5839,0,6.181241607666038,0,inflow,1
2018-10-16,0.0339,17.0339,0,6.479943847656273,0,inflow,1
2018-10-17,0.0332,16.5284,0,7.81726481119794,0,inflow,1
2018-10-18,0.0326,16.1094,0,9.312579091389997,0.01064880022604484,inflow,1
2018-10-19,0.0357,15.7786,0,10.566971079508486,0.012182399920129683,inflow,1
2018-10-20,0.0391,15.5206,0,10.818597412109398,0,inflow,1
