time,FLOW,TEMP,type,outflow_num
2018-10-05,0.0065,19.178,outflow,1
2018-10-06,0.0084,19.1154,outflow,1
2018-10-07,0.009,19.1018,outflow,1
2018-10-08,0.0108,19.0682,outflow,1
2018-10-09,0.0133,19.012,outflow,1
2018-10-10,0.0153,18.979,outflow,1
2018-10-11,0.0162,18.9496,outflow,1
2018-10-12,0.0167,18.9332,outflow,1
2018-10-13,0.0169,18.8721,outflow,1
2018-10-14,0.0171,18.7792,outflow,1
2018-10-15,0.0173,18.2609,outflow,1
2018-10-16,0.0175,17.8169,outflow,1
2018-10-17,0.0208,17.4214,outflow,1
2018-10-18,0.0248,17.2172,outflow,1
2018-10-19,0.0506,17.1299,outflow,1
2018-10-20,0.0519,17.0734,outflow,1
