time,FLOW,TEMP,type,outflow_num
2018-10-05,0.0062,19.1647,outflow,1
2018-10-06,0.0088,19.1443,outflow,1
2018-10-07,0.0097,19.1522,outflow,1
2018-10-08,0.0112,19.0976,outflow,1
2018-10-09,0.0125,19.0462,outflow,1
2018-10-10,0.0141,19.0084,outflow,1
2018-10-11,0.0151,18.9752,outflow,1
2018-10-12,0.0165,18.9232,outflow,1
2018-10-13,0.0168,18.8876,outflow,1
2018-10-14,0.0177,18.8259,outflow,1
2018-10-15,0.0178,18.6782,outflow,1
2018-10-16,0.018,18.2,outflow,1
2018-10-17,0.0181,17.7334,outflow,1
2018-10-18,0.0182,17.3035,outflow,1
2018-10-19,0.0184,16.8907,outflow,1
2018-10-20,0.0185,16.6159,outflow,1
