date,hour,depth,value,variable
2018-07-06,0,0,28.357915,temperature
2018-07-06,0,1,28.35548833,temperature
2018-07-06,0,2,24.21442167,temperature
2018-07-06,0,3,18.23160667,temperature
2018-07-06,0,4,13.51454167,temperature
2018-07-06,0,5,11.1962025,temperature
2018-07-06,0,6,11.18925167,temperature
2018-07-06,0,7,11.18857333,temperature
2018-07-06,0,8,11.17609167,temperature
2018-07-06,0,9,11.16959,temperature
2018-07-07,0,0,27.56565167,temperature
2018-07-07,0,1,27.56413167,temperature
2018-07-07,0,2,24.238785,temperature
2018-07-07,0,3,18.35380167,temperature
2018-07-07,0,4,12.84150667,temperature
2018-07-07,0,5,11.21970917,temperature
2018-07-07,0,6,11.216265,temperature
2018-07-07,0,7,11.21368333,temperature
2018-07-07,0,8,11.20439667,temperature
2018-07-07,0,9,11.20344833,temperature
2018-07-08,0,0,26.37211,temperature
2018-07-08,0,1,26.36307833,temperature
2018-07-08,0,2,24.54124833,temperature
2018-07-08,0,3,18.21345833,temperature
2018-07-08,0,4,13.63631833,temperature
2018-07-08,0,5,11.27285917,temperature
2018-07-08,0,6,11.241995,temperature
2018-07-08,0,7,11.245855,temperature
2018-07-08,0,8,11.25743333,temperature
2018-07-08,0,9,11.23188333,temperature
2018-07-09,0,0,25.78641667,temperature
2018-07-09,0,1,25.78797333,temperature
2018-07-09,0,2,25.69270167,temperature
2018-07-09,0,3,18.347795,temperature
2018-07-09,0,4,13.69075667,temperature
2018-07-09,0,5,11.31401667,temperature
2018-07-09,0,6,11.27046,temperature
2018-07-09,0,7,11.269395,temperature
2018-07-09,0,8,11.25636833,temperature
2018-07-09,0,9,11.25443333,temperature
2018-07-10,0,0,26.16007,temperature
2018-07-10,0,1,26.157145,temperature
2018-07-10,0,2,24.65979833,temperature
2018-07-10,0,3,18.64851833,temperature
2018-07-10,0,4,13.61681167,temperature
2018-07-10,0,5,11.34497833,temperature
2018-07-10,0,6,11.29965167,temperature
2018-07-10,0,7,11.29634667,temperature
2018-07-10,0,8,11.28467833,temperature
2018-07-10,0,9,11.27959833,temperature
2018-07-11,0,0,26.7869,temperature
2018-07-11,0,1,26.74047333,temperature
2018-07-11,0,2,24.93691833,temperature
2018-07-11,0,3,18.66190167,temperature
2018-07-11,0,4,13.81101833,temperature
2018-07-11,0,5,11.36209417,temperature
2018-07-11,0,6,11.32824667,temperature
2018-07-11,0,7,11.33610667,temperature
2018-07-11,0,8,11.31901,temperature
2018-07-11,0,9,11.31602917,temperature
2018-07-12,0,0,27.22665333,temperature
2018-07-12,0,1,27.01445333,temperature
2018-07-12,0,2,24.87421667,temperature
2018-07-12,0,3,18.87948333,temperature
2018-07-12,0,4,14.12557333,temperature
2018-07-12,0,5,11.356155,temperature
2018-07-12,0,6,11.35141167,temperature
2018-07-12,0,7,11.36531,temperature
2018-07-12,0,8,11.36750333,temperature
2018-07-12,0,9,11.34356417,temperature
2018-07-13,0,0,27.26058167,temperature
2018-07-13,0,1,27.24319,temperature
2018-07-13,0,2,25.38395167,temperature
2018-07-13,0,3,18.74895667,temperature
2018-07-13,0,4,13.98330833,temperature
2018-07-13,0,5,11.44427167,temperature
2018-07-13,0,6,11.39224833,temperature
2018-07-13,0,7,11.38875333,temperature
2018-07-13,0,8,11.37111333,temperature
2018-07-13,0,9,11.369035,temperature
2018-07-14,0,0,27.12082167,temperature
2018-07-14,0,1,27.12395833,temperature
2018-07-14,0,2,25.74599667,temperature
2018-07-14,0,3,19.20887167,temperature
2018-07-14,0,4,14.047855,temperature
2018-07-14,0,5,11.42341083,temperature
2018-07-14,0,6,11.40839667,temperature
2018-07-14,0,7,11.412235,temperature
2018-07-14,0,8,11.40080333,temperature
2018-07-14,0,9,11.40083083,temperature
2018-07-15,0,0,26.90636167,temperature
2018-07-15,0,1,26.90674833,temperature
2018-07-15,0,2,26.78880333,temperature
2018-07-15,0,3,19.08501833,temperature
2018-07-15,0,4,14.18211833,temperature
2018-07-15,0,5,11.46124,temperature
2018-07-15,0,6,11.44671,temperature
2018-07-15,0,7,11.45498167,temperature
2018-07-15,0,8,11.43556667,temperature
2018-07-15,0,9,11.4251175,temperature
2018-07-16,0,0,27.40261833,temperature
2018-07-16,0,1,27.39943833,temperature
2018-07-16,0,2,26.11310833,temperature
2018-07-16,0,3,19.195225,temperature
2018-07-16,0,4,14.22590167,temperature
2018-07-16,0,5,11.49874417,temperature
2018-07-16,0,6,11.47606833,temperature
2018-07-16,0,7,11.46334333,temperature
2018-07-16,0,8,11.45192333,temperature
2018-07-16,0,9,11.44979833,temperature
2018-07-17,0,0,27.54197667,temperature
2018-07-17,0,1,27.53936667,temperature
2018-07-17,0,2,26.31006833,temperature
2018-07-17,0,3,19.33390167,temperature
2018-07-17,0,4,14.34712667,temperature
2018-07-17,0,5,11.507715,temperature
2018-07-17,0,6,11.49271667,temperature
2018-07-17,0,7,11.48983167,temperature
2018-07-17,0,8,11.48176667,temperature
2018-07-17,0,9,11.48481917,temperature
2018-07-18,0,0,27.39281833,temperature
2018-07-18,0,1,27.38926,temperature
2018-07-18,0,2,26.70240333,temperature
2018-07-18,0,3,19.69007667,temperature
2018-07-18,0,4,14.14763167,temperature
2018-07-18,0,5,11.5362075,temperature
2018-07-18,0,6,11.51161167,temperature
2018-07-18,0,7,11.51331667,temperature
2018-07-18,0,8,11.50454167,temperature
2018-07-18,0,9,11.50525917,temperature
2018-07-19,0,0,26.90556833,temperature
2018-07-19,0,1,26.89839167,temperature
2018-07-19,0,2,26.83641667,temperature
2018-07-19,0,3,19.75676833,temperature
2018-07-19,0,4,14.25511667,temperature
2018-07-19,0,5,11.58461917,temperature
2018-07-19,0,6,11.538925,temperature
2018-07-19,0,7,11.535315,temperature
2018-07-19,0,8,11.52595333,temperature
2018-07-19,0,9,11.52664667,temperature
2018-07-20,0,0,26.63243667,temperature
2018-07-20,0,1,26.63034,temperature
2018-07-20,0,2,26.0805,temperature
2018-07-20,0,3,19.74890167,temperature
2018-07-20,0,4,14.42945,temperature
2018-07-20,0,5,11.60140667,temperature
2018-07-20,0,6,11.59009167,temperature
2018-07-20,0,7,11.59123333,temperature
2018-07-20,0,8,11.58942667,temperature
2018-07-20,0,9,11.58929667,temperature
2018-07-21,0,0,26.31274333,temperature
2018-07-21,0,1,26.31392167,temperature
2018-07-21,0,2,26.00691667,temperature
2018-07-21,0,3,19.75754167,temperature
2018-07-21,0,4,14.54010333,temperature
2018-07-21,0,5,11.66590583,temperature
2018-07-21,0,6,11.63757333,temperature
2018-07-21,0,7,11.63489833,temperature
2018-07-21,0,8,11.62588833,temperature
2018-07-21,0,9,11.64092667,temperature
2018-07-22,0,0,26.03186333,temperature
2018-07-22,0,1,26.02217,temperature
2018-07-22,0,2,25.67159833,temperature
2018-07-22,0,3,20.16751667,temperature
2018-07-22,0,4,14.25948167,temperature
2018-07-22,0,5,11.66895083,temperature
2018-07-22,0,6,11.68063833,temperature
2018-07-22,0,7,11.68246,temperature
2018-07-22,0,8,11.67614333,temperature
2018-07-22,0,9,11.68001917,temperature
2018-07-23,0,0,25.34154167,temperature
2018-07-23,0,1,25.338985,temperature
2018-07-23,0,2,25.28812667,temperature
2018-07-23,0,3,19.86539167,temperature
2018-07-23,0,4,14.688705,temperature
2018-07-23,0,5,11.7388325,temperature
2018-07-23,0,6,11.72176,temperature
2018-07-23,0,7,11.71856667,temperature
2018-07-23,0,8,11.70985,temperature
2018-07-23,0,9,11.71416667,temperature
2018-07-24,0,0,25.03117333,temperature
2018-07-24,0,1,25.02347833,temperature
2018-07-24,0,2,25.00903167,temperature
2018-07-24,0,3,20.26774,temperature
2018-07-24,0,4,14.45398,temperature
2018-07-24,0,5,11.78213917,temperature
2018-07-24,0,6,11.76511,temperature
2018-07-24,0,7,11.76463833,temperature
2018-07-24,0,8,11.74990833,temperature
2018-07-24,0,9,11.75357083,temperature
2018-07-25,0,0,25.04849167,temperature
2018-07-25,0,1,25.04721167,temperature
2018-07-25,0,2,24.65007,temperature
2018-07-25,0,3,20.10602167,temperature
2018-07-25,0,4,14.49594,temperature
2018-07-25,0,5,11.8311775,temperature
2018-07-25,0,6,11.80534667,temperature
2018-07-25,0,7,11.80174333,temperature
2018-07-25,0,8,11.79321167,temperature
2018-07-25,0,9,11.795495,temperature
2018-07-26,0,0,24.52986,temperature
2018-07-26,0,1,24.53207833,temperature
2018-07-26,0,2,24.50559,temperature
2018-07-26,0,3,20.36875333,temperature
2018-07-26,0,4,14.283695,temperature
2018-07-26,0,5,11.83471417,temperature
2018-07-26,0,6,11.829535,temperature
2018-07-26,0,7,11.829055,temperature
2018-07-26,0,8,11.816135,temperature
2018-07-26,0,9,11.82449917,temperature
2018-07-27,0,0,25.83368333,temperature
2018-07-27,0,1,25.80527167,temperature
2018-07-27,0,2,24.17378667,temperature
2018-07-27,0,3,20.40614833,temperature
2018-07-27,0,4,14.48771167,temperature
2018-07-27,0,5,11.87823167,temperature
2018-07-27,0,6,11.87009333,temperature
2018-07-27,0,7,11.86575833,temperature
2018-07-27,0,8,11.852785,temperature
2018-07-27,0,9,11.85358833,temperature
2018-07-28,0,0,26.10611333,temperature
2018-07-28,0,1,26.09042,temperature
2018-07-28,0,2,24.15905333,temperature
2018-07-28,0,3,20.10256167,temperature
2018-07-28,0,4,14.55871,temperature
2018-07-28,0,5,11.90821583,temperature
2018-07-28,0,6,11.90142667,temperature
2018-07-28,0,7,11.90055833,temperature
2018-07-28,0,8,11.88559,temperature
2018-07-28,0,9,11.893065,temperature
2018-07-29,0,0,25.78278667,temperature
2018-07-29,0,1,25.75916833,temperature
2018-07-29,0,2,24.31637333,temperature
2018-07-29,0,3,20.220495,temperature
2018-07-29,0,4,14.18022167,temperature
2018-07-29,0,5,11.943595,temperature
2018-07-29,0,6,11.939855,temperature
2018-07-29,0,7,11.94281667,temperature
2018-07-29,0,8,11.92673667,temperature
2018-07-29,0,9,11.92348,temperature
2018-07-30,0,0,26.00468667,temperature
2018-07-30,0,1,25.992,temperature
2018-07-30,0,2,24.12987667,temperature
2018-07-30,0,3,20.29306,temperature
2018-07-30,0,4,14.55479333,temperature
2018-07-30,0,5,11.97803417,temperature
2018-07-30,0,6,11.96327667,temperature
2018-07-30,0,7,11.96208333,temperature
2018-07-30,0,8,11.95013333,temperature
2018-07-30,0,9,11.95128,temperature
2018-07-31,0,0,25.604945,temperature
2018-07-31,0,1,25.60847833,temperature
2018-07-31,0,2,24.59251833,temperature
2018-07-31,0,3,19.65918,temperature
2018-07-31,0,4,14.63502,temperature
2018-07-31,0,5,11.989025,temperature
2018-07-31,0,6,11.95497,temperature
2018-07-31,0,7,11.938765,temperature
2018-07-31,0,8,11.93730167,temperature
2018-07-31,0,9,11.8115425,temperature
2018-08-01,0,0,25.23007167,temperature
2018-08-01,0,1,25.22213167,temperature
2018-08-01,0,2,24.03569667,temperature
2018-08-01,0,3,20.22134833,temperature
2018-08-01,0,4,14.68205333,temperature
2018-08-01,0,5,12.06235583,temperature
2018-08-01,0,6,11.95391833,temperature
2018-08-01,0,7,11.92082833,temperature
2018-08-01,0,8,11.86550667,temperature
2018-08-01,0,9,11.753045,temperature
2018-08-02,0,0,25.26970333,temperature
2018-08-02,0,1,25.22947,temperature
2018-08-02,0,2,24.22503,temperature
2018-08-02,0,3,19.74226667,temperature
2018-08-02,0,4,14.36085,temperature
2018-08-02,0,5,12.0661675,temperature
2018-08-02,0,6,11.95302833,temperature
2018-08-02,0,7,11.90452667,temperature
2018-08-02,0,8,11.84452333,temperature
2018-08-02,0,9,11.73116,temperature
2018-08-03,0,0,24.82487,temperature
2018-08-03,0,1,24.82165667,temperature
2018-08-03,0,2,24.09693333,temperature
2018-08-03,0,3,19.92989667,temperature
2018-08-03,0,4,15.25773,temperature
2018-08-03,0,5,12.1562225,temperature
2018-08-03,0,6,11.958135,temperature
2018-08-03,0,7,11.88486667,temperature
2018-08-03,0,8,11.800645,temperature
2018-08-03,0,9,11.762115,temperature
2018-08-04,0,0,24.148045,temperature
2018-08-04,0,1,24.14995167,temperature
2018-08-04,0,2,24.11911333,temperature
2018-08-04,0,3,20.43804833,temperature
2018-08-04,0,4,14.60313,temperature
2018-08-04,0,5,12.2000325,temperature
2018-08-04,0,6,11.96514,temperature
2018-08-04,0,7,11.866725,temperature
2018-08-04,0,8,11.77439833,temperature
2018-08-04,0,9,11.774125,temperature
2018-08-05,0,0,25.73414833,temperature
2018-08-05,0,1,25.6387,temperature
2018-08-05,0,2,23.9111,temperature
2018-08-05,0,3,20.64684,temperature
2018-08-05,0,4,14.56698,temperature
2018-08-05,0,5,12.28268583,temperature
2018-08-05,0,6,11.974215,temperature
2018-08-05,0,7,11.85831333,temperature
2018-08-05,0,8,11.78371,temperature
2018-08-05,0,9,11.76376,temperature
2018-08-06,0,0,26.32215333,temperature
2018-08-06,0,1,26.28452,temperature
2018-08-06,0,2,24.25754,temperature
2018-08-06,0,3,20.171585,temperature
2018-08-06,0,4,14.69745333,temperature
2018-08-06,0,5,12.33186667,temperature
2018-08-06,0,6,11.98310833,temperature
2018-08-06,0,7,11.83964,temperature
2018-08-06,0,8,11.767765,temperature
2018-08-06,0,9,11.71951917,temperature
2018-08-07,0,0,26.62611,temperature
2018-08-07,0,1,26.60182667,temperature
2018-08-07,0,1.6,26.66016667,temperature
2018-08-07,0,2,23.98599167,temperature
2018-08-07,0,3,20.69496667,temperature
2018-08-07,0,4,14.76106167,temperature
2018-08-07,0,5,12.26217333,temperature
2018-08-07,0,6,11.95214667,temperature
2018-08-07,0,7,11.799585,temperature
2018-08-07,0,8,11.81511167,temperature
2018-08-07,0,9,11.70590417,temperature
2018-08-08,0,0,26.653635,temperature
2018-08-08,0,1,26.63004,temperature
2018-08-08,0,1.6,26.69716667,temperature
2018-08-08,0,2,24.06890667,temperature
2018-08-08,0,3,20.30583667,temperature
2018-08-08,0,4,15.291205,temperature
2018-08-08,0,5,12.3010925,temperature
2018-08-08,0,6,11.95688667,temperature
2018-08-08,0,7,11.81496167,temperature
2018-08-08,0,8,11.76294333,temperature
2018-08-08,0,9,11.68768333,temperature
2018-08-09,0,0,26.118325,temperature
2018-08-09,0,1,26.1179,temperature
2018-08-09,0,1.6,26.15866667,temperature
2018-08-09,0,2,24.45626667,temperature
2018-08-09,0,3,20.34182833,temperature
2018-08-09,0,4,15.15552833,temperature
2018-08-09,0,5,12.25845667,temperature
2018-08-09,0,6,11.95489,temperature
2018-08-09,0,7,11.810155,temperature
