time,FLOW,TEMP,SALT,OXY_oxy,CAR_dic,CAR_ch4,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,PHY_cyano,PHY_green,PHY_diatom
2013-05-15,0.0164,16.2894,0,288.3959,62.8392,NA,120.9013,0.388,0.5484,0.1264,14.9875,202.3314,21.7319,1.1732,10.5584,2.3463,0.0182,0.1638,0.4246,0,0,0
2013-05-16,0.0152,15.2891,0,294.6262,62.8526,NA,120.9013,0.379,0.5698,0.1271,14.9862,202.3136,21.73,1.1712,10.5409,2.3424,0.0445,0.4007,1.0389,0,0,0
2013-05-17,0.0141,15.3267,0,294.3877,62.866,NA,120.9013,0.37,0.5911,0.1278,14.9849,202.2958,21.7281,1.1693,10.5234,2.3385,0.0421,0.3786,0.9816,0,0,0
2013-05-18,0.017,15.0142,0,296.3806,62.8794,NA,120.9013,0.361,0.6125,0.1286,14.9836,202.278,21.7262,1.1673,10.5059,2.3346,0.0396,0.3565,0.9242,0,0,0
2013-05-19,0.0186,14.6304,0,298.8612,62.8928,NA,120.9013,0.3519,0.6339,0.1293,14.9822,202.2602,21.7242,1.1654,10.4884,2.3308,0.0372,0.3344,0.8669,0,0,0
2013-05-20,0.0413,14.4457,0,300.0683,62.9062,NA,120.9013,0.3429,0.6553,0.13,14.9809,202.2425,21.7223,1.1634,10.4709,2.3269,0.0347,0.3122,0.8095,0,0,0
2013-05-21,0.0278,14.9861,0,296.5605,62.9196,NA,120.9013,0.3339,0.6767,0.1308,14.9796,202.2247,21.7204,1.1615,10.4534,2.323,0.0322,0.2901,0.7522,0,0,0
2013-05-22,0.0207,16.0322,0,289.9751,62.9329,NA,120.9013,0.3249,0.698,0.1315,14.9783,202.2069,21.7185,1.1595,10.4359,2.3191,0.0298,0.268,0.6948,0,0,0
2013-05-23,0.0195,15.7351,0,291.8187,62.9463,NA,120.9013,0.3158,0.7194,0.1322,14.977,202.1891,21.7166,1.1576,10.4184,2.3152,0.0273,0.2459,0.6375,0,0,0
2013-05-24,0.0194,14.3636,0,300.6075,62.9597,NA,120.9013,0.3068,0.7408,0.133,14.9757,202.1713,21.7147,1.1556,10.4008,2.3113,0.0279,0.2509,0.6505,0,0,0
2013-05-25,0.0164,11.7835,0,318.482,62.9731,NA,120.9013,0.2978,0.7622,0.1337,14.9743,202.1535,21.7128,1.1537,10.3833,2.3074,0.0284,0.256,0.6636,0,0,0
2013-05-26,0.0151,12.5138,0,313.2351,62.9865,NA,120.9013,0.2888,0.7836,0.1344,14.973,202.1357,21.7109,1.1518,10.3658,2.3035,0.029,0.261,0.6766,0,0,0
2013-05-27,0.0142,12.8518,0,310.858,62.9999,NA,120.9013,0.2797,0.805,0.1352,14.9717,202.118,21.709,1.1498,10.3483,2.2996,0.0296,0.266,0.6897,0,0,0
2013-05-28,0.0141,14.5001,0,299.712,63.0133,NA,120.9013,0.2707,0.8263,0.1359,14.9704,202.1002,21.7071,1.1479,10.3308,2.2957,0.0301,0.2711,0.7027,0,0,0
2013-05-29,0.014,16.0369,0,289.9462,63.0267,NA,120.9013,0.2617,0.8477,0.1366,14.9691,202.0824,21.7051,1.1459,10.3133,2.2918,0.0307,0.2761,0.7158,0,0,0
2013-05-30,0.0132,16.7321,0,285.7133,63.0401,NA,120.9013,0.2527,0.8691,0.1374,14.9677,202.0646,21.7032,1.144,10.2958,2.288,0.0312,0.2811,0.7288,0,0,0
2013-05-31,0.0142,17.0495,0,283.8173,63.0535,NA,120.9013,0.2436,0.8905,0.1381,14.9664,202.0468,21.7013,1.142,10.2783,2.2841,0.0311,0.2801,0.7261,0,0,0
2013-06-01,0.0136,17.2396,0,282.6924,63.0669,NA,120.9013,0.2346,0.9119,0.1388,14.9651,202.029,21.6994,1.1401,10.2608,2.2802,0.031,0.279,0.7233,0,0,0
2013-06-02,0.0169,17.1595,0,283.1654,63.0803,NA,120.9013,0.2256,0.9332,0.1396,14.9638,202.0112,21.6975,1.1381,10.2433,2.2763,0.0309,0.2779,0.7205,0,0,0
2013-06-03,0.0159,16.7891,0,285.3712,63.0937,NA,120.9013,0.2166,0.9546,0.1403,14.9625,201.9935,21.6956,1.1362,10.2258,2.2724,0.0308,0.2768,0.7177,0,0,0
