time,site_id,depth,observed,variable
2018-07-06T00:00:00Z,fcre,0,29.5854,temperature
2018-07-07T00:00:00Z,fcre,0,29.5087,temperature
2018-07-08T00:00:00Z,fcre,0,28.7162,temperature
2018-07-09T00:00:00Z,fcre,0,28.9047,temperature
2018-07-10T00:00:00Z,fcre,0,29.0641,temperature
2018-07-11T00:00:00Z,fcre,0,29.2513,temperature
2018-07-12T00:00:00Z,fcre,0,29.0116,temperature
2018-07-13T00:00:00Z,fcre,0,29.4619,temperature
2018-07-14T00:00:00Z,fcre,0,28.3713,temperature
2018-07-15T00:00:00Z,fcre,0,28.1608,temperature
2018-07-16T00:00:00Z,fcre,0,29.1472,temperature
2018-07-17T00:00:00Z,fcre,0,28.2605,temperature
2018-07-18T00:00:00Z,fcre,0,29.4642,temperature
2018-07-19T00:00:00Z,fcre,0,29.0025,temperature
2018-07-20T00:00:00Z,fcre,0,28.0622,temperature
2018-07-21T00:00:00Z,fcre,0,27.0158,temperature
2018-07-22T00:00:00Z,fcre,0,26.9175,temperature
2018-07-23T00:00:00Z,fcre,0,26.3729,temperature
2018-07-24T00:00:00Z,fcre,0,25.8561,temperature
2018-07-25T00:00:00Z,fcre,0,26.1165,temperature
2018-07-26T00:00:00Z,fcre,0,26.0393,temperature
2018-07-27T00:00:00Z,fcre,0,27.9233,temperature
2018-07-28T00:00:00Z,fcre,0,27.1969,temperature
2018-07-29T00:00:00Z,fcre,0,28.8112,temperature
2018-07-30T00:00:00Z,fcre,0,26.9678,temperature
2018-07-31T00:00:00Z,fcre,0,26.702,temperature
2018-08-01T00:00:00Z,fcre,0,26.1075,temperature
2018-08-02T00:00:00Z,fcre,0,25.8916,temperature
2018-08-03T00:00:00Z,fcre,0,25.7666,temperature
2018-08-04T00:00:00Z,fcre,0,24.7816,temperature
2018-08-05T00:00:00Z,fcre,0,28.3044,temperature
2018-08-06T00:00:00Z,fcre,0,29.6492,temperature
2018-08-07T00:00:00Z,fcre,0,30.1864,temperature
2018-08-08T00:00:00Z,fcre,0,29.8235,temperature
2018-08-09T00:00:00Z,fcre,0,29.1783,temperature
2018-08-10T00:00:00Z,fcre,0,29.2171,temperature
2018-08-11T00:00:00Z,fcre,0,29.4415,temperature
2018-08-12T00:00:00Z,fcre,0,28.3591,temperature
2018-08-13T00:00:00Z,fcre,0,26.9851,temperature
2018-08-14T00:00:00Z,fcre,0,28.1295,temperature
2018-08-25T00:00:00Z,fcre,0,25.0145,temperature
2018-08-26T00:00:00Z,fcre,0,24.9993,temperature
2018-08-27T00:00:00Z,fcre,0,25.9416,temperature
2018-08-29T00:00:00Z,fcre,0,28.7633,temperature
2018-08-30T00:00:00Z,fcre,0,28.2647,temperature
2018-08-31T00:00:00Z,fcre,0,28.8427,temperature
2018-09-01T00:00:00Z,fcre,0,27.5991,temperature
2018-09-02T00:00:00Z,fcre,0,26.9406,temperature
2018-09-03T00:00:00Z,fcre,0,28.5337,temperature
