time,FLOW,TEMP,SALT,AirTemp,Rain,type,inflow_num
2018-10-05,0.0063,19.1825,0,20.652288055419945,0.0029159999459807294,inflow,1
2018-10-06,0.0081,19.159,0,20.65332946777346,0.0013823999965097756,inflow,1
2018-10-07,0.0093,19.137,0,20.68561706542971,0.00488160004169913,inflow,1
2018-10-08,0.0115,19.1175,0,20.573538716634136,0.003412799976649694,inflow,1
2018-10-09,0.0132,19.0944,0,20.148862457275413,0.0021384000068792376,inflow,1
2018-10-10,0.0143,19.0545,0,19.34166997273765,0.06542639769104426,inflow,1
2018-10-11,0.0374,18.9824,0,16.91080245971682,8.207999635487795e-4,inflow,1
2018-10-12,0.0369,18.8104,0,13.268360392252626,0,inflow,1
2018-10-13,0.036,18.4926,0,11.947078959147158,1.512000020738924e-4,inflow,1
2018-10-14,0.0353,18.1366,0,15.666749572753929,3.8879999410710295e-4,inflow,1
2018-10-15,0.0346,17.9603,0,10.91007258097333,0,inflow,1
2018-10-16,0.0339,17.5908,0,8.042849477132185,0,inflow,1
2018-10-17,0.0332,17.12,0,6.668686167399112,0,inflow,1
2018-10-18,0.0326,16.6176,0,7.7107610066731995,1.0799999972732621e-4,inflow,1
2018-10-19,0.032,16.1889,0,9.548586781819685,4.319999989093049e-5,inflow,1
2018-10-20,0.0314,15.8636,0,8.361779785156273,0,inflow,1
