time,FLOW,TEMP,type,outflow_num
2018-10-05,0.0067,19.1891,outflow,1
2018-10-06,0.0091,19.1791,outflow,1
2018-10-07,0.0104,19.2304,outflow,1
2018-10-08,0.0121,19.2173,outflow,1
2018-10-09,0.0143,19.1427,outflow,1
2018-10-10,0.0162,19.0907,outflow,1
2018-10-11,0.0177,19.0803,outflow,1
2018-10-12,0.0189,18.9503,outflow,1
2018-10-13,0.019,18.6116,outflow,1
2018-10-14,0.0191,18.2451,outflow,1
2018-10-15,0.0195,18.0153,outflow,1
2018-10-16,0.0214,17.8351,outflow,1
2018-10-17,0.0214,17.3742,outflow,1
2018-10-18,0.0214,16.8377,outflow,1
2018-10-19,0.0213,16.3564,outflow,1
2018-10-20,0.0213,16.0259,outflow,1
