time,FLOW,TEMP,type,outflow_num
2018-10-05,0.007,19.1819,outflow,1
2018-10-06,0.0088,19.1543,outflow,1
2018-10-07,0.0096,19.1672,outflow,1
2018-10-08,0.0108,19.1059,outflow,1
2018-10-09,0.0119,19.0688,outflow,1
2018-10-10,0.0132,19.015,outflow,1
2018-10-11,0.0246,18.9639,outflow,1
2018-10-12,0.0455,18.8442,outflow,1
2018-10-13,0.0448,18.6605,outflow,1
2018-10-14,0.0436,18.3971,outflow,1
2018-10-15,0.0424,18.1484,outflow,1
2018-10-16,0.0412,17.5921,outflow,1
2018-10-17,0.0402,17.0252,outflow,1
2018-10-18,0.0392,16.6946,outflow,1
2018-10-19,0.0382,16.5325,outflow,1
2018-10-20,0.0375,16.2928,outflow,1
