datetime,site_id,variable,observation
2013-05-15,fcre,FLOW,0.0126
2013-05-15,fcre,TEMP,15.7317
2013-05-15,fcre,SALT,0
2013-05-15,fcre,OXY_oxy,291.8401
2013-05-15,fcre,CAR_dic,64.7434
2013-05-15,fcre,CAR_ch4,NA
2013-05-15,fcre,SIL_rsi,120.9013
2013-05-15,fcre,NIT_amm,0.388
2013-05-15,fcre,NIT_nit,0.7419
2013-05-15,fcre,PHS_frp,0.1369
2013-05-15,fcre,OGM_doc,14.9875
2013-05-15,fcre,OGM_docr,202.3314
2013-05-15,fcre,OGM_poc,21.7319
2013-05-15,fcre,OGM_don,1.1737
2013-05-15,fcre,OGM_donr,10.5632
2013-05-15,fcre,OGM_pon,2.3474
2013-05-15,fcre,OGM_dop,0.0195
2013-05-15,fcre,OGM_dopr,0.1753
2013-05-15,fcre,OGM_pop,0.4546
2013-05-15,fcre,PHY_cyano,0
2013-05-15,fcre,PHY_green,0
2013-05-15,fcre,PHY_diatom,0
2013-05-16,fcre,FLOW,0.0121
2013-05-16,fcre,TEMP,15.3482
2013-05-16,fcre,SALT,0
2013-05-16,fcre,OXY_oxy,294.251
2013-05-16,fcre,CAR_dic,64.7557
2013-05-16,fcre,CAR_ch4,NA
2013-05-16,fcre,SIL_rsi,120.9013
2013-05-16,fcre,NIT_amm,0.379
2013-05-16,fcre,NIT_nit,0.7588
2013-05-16,fcre,PHS_frp,0.1374
2013-05-16,fcre,OGM_doc,14.9862
2013-05-16,fcre,OGM_docr,202.3136
2013-05-16,fcre,OGM_poc,21.73
2013-05-16,fcre,OGM_don,1.1721
2013-05-16,fcre,OGM_donr,10.5489
2013-05-16,fcre,OGM_pon,2.3442
2013-05-16,fcre,OGM_dop,0.0442
2013-05-16,fcre,OGM_dopr,0.3979
2013-05-16,fcre,OGM_pop,1.0317
2013-05-16,fcre,PHY_cyano,0
2013-05-16,fcre,PHY_green,0
2013-05-16,fcre,PHY_diatom,0
2013-05-17,fcre,FLOW,0.0121
2013-05-17,fcre,TEMP,15.2935
2013-05-17,fcre,SALT,0
2013-05-17,fcre,OXY_oxy,294.5978
2013-05-17,fcre,CAR_dic,64.768
2013-05-17,fcre,CAR_ch4,NA
2013-05-17,fcre,SIL_rsi,120.9013
2013-05-17,fcre,NIT_amm,0.37
2013-05-17,fcre,NIT_nit,0.7757
2013-05-17,fcre,PHS_frp,0.1379
2013-05-17,fcre,OGM_doc,14.9849
2013-05-17,fcre,OGM_docr,202.2958
2013-05-17,fcre,OGM_poc,21.7281
2013-05-17,fcre,OGM_don,1.1705
2013-05-17,fcre,OGM_donr,10.5345
2013-05-17,fcre,OGM_pon,2.341
2013-05-17,fcre,OGM_dop,0.0418
