par_names,par_names_save,par_file,par_init,par_init_lowerbound,par_init_upperbound,par_lowerbound,par_upperbound,inflat_pars,perturb_par,par_units, fix_par
lw_factor,lw_factor,glm3.nml,0.9071369,0.8,1.2,0,2,1.2,0.005,unitless,0
Rdom_minerl,Rdom_minerl,aed2.nml,0.005,0.0002,0.01,0.00005,0.01,1.2,0.0000125,unit,1
R_growth,R_growth_1,aed_phyto_pars_3groups.csv,1,1,2,0,5,1.2,0.1,unit,1
R_growth,R_growth_2,aed_phyto_pars_3groups.csv,1,1,2,0,5,1.2,0.1,unit,1
R_growth,R_growth_3,aed_phyto_pars_3groups.csv,1,1,2,0,5,1.2,0.1,unit,1
Kw,Kw,glm3.nml,0.4136778,0.3,0.6,0,5,1.2,0.005,unit,1
sed_temp_mean,zone1temp,glm3.nml,12,5,15,-100,100,1.04,0.1,deg_C,0
sed_temp_mean,zone2temp,glm3.nml,15,5,15,-100,100,1.04,0.1,deg_C,1
sed_temp_mean,zone3temp,glm3.nml,12,10,15,-100,100,1.04,0.1,deg_C,1
sed_temp_mean,zone4temp,glm3.nml,15,10,20,-100,100,1.04,0.1,deg_C,1
Fsed_oxy,Fsed_oxy_zone1,aed2.nml,-40,-40,-10,-1000,1000,1.04,1,mmol_m3_day,0
Fsed_oxy,Fsed_oxy_zone2,aed2.nml,-40,-30,-10,-1000,1000,1.04,1,mmol_m3_day,0
Fsed_oxy,Fsed_oxy_zone3,aed2.nml,-40,-10,0,-1000,1000,1.04,0.1,mmol_m3_day,1
Fsed_oxy,Fsed_oxy_zone4,aed2.nml,-40,-10,0,-1000,1000,1.04,0.1,mmol_m3_day,1
inflow_factor,inflow_factor,glm3.nml,1.0,0,1,0,1.5,1.2,0.1,unitless,1
