datetime,site_id,variable,observation
2022-09-02,fcre,FLOW,0.0027
2022-09-02,fcre,TEMP,18.6398
2022-09-02,fcre,SALT,0
2022-09-02,fcre,OXY_oxy,274.6469
2022-09-02,fcre,CAR_dic,102.0661
2022-09-02,fcre,CAR_ch4,NA
2022-09-02,fcre,SIL_rsi,120.9013
2022-09-02,fcre,NIT_amm,0.9128
2022-09-02,fcre,NIT_nit,2.0075
2022-09-02,fcre,PHS_frp,0.2415
2022-09-02,fcre,OGM_doc,12.101
2022-09-02,fcre,OGM_docr,163.3639
2022-09-02,fcre,OGM_poc,17.5465
2022-09-02,fcre,OGM_don,1.0797
2022-09-02,fcre,OGM_donr,9.7169
2022-09-02,fcre,OGM_pon,2.1593
2022-09-02,fcre,OGM_dop,0.0286
2022-09-02,fcre,OGM_dopr,0.257
2022-09-02,fcre,OGM_pop,0.6664
2022-09-02,fcre,PHY_cyano,0
2022-09-02,fcre,PHY_green,0
2022-09-02,fcre,PHY_diatom,0
2022-09-03,fcre,FLOW,0.0027
2022-09-03,fcre,TEMP,19.5243
2022-09-03,fcre,SALT,0
2022-09-03,fcre,OXY_oxy,269.7726
2022-09-03,fcre,CAR_dic,100.9235
2022-09-03,fcre,CAR_ch4,NA
2022-09-03,fcre,SIL_rsi,120.9013
2022-09-03,fcre,NIT_amm,0.9608
2022-09-03,fcre,NIT_nit,1.9247
2022-09-03,fcre,PHS_frp,0.2387
2022-09-03,fcre,OGM_doc,12.212
2022-09-03,fcre,OGM_docr,164.8626
2022-09-03,fcre,OGM_poc,17.7075
2022-09-03,fcre,OGM_don,1.077
2022-09-03,fcre,OGM_donr,9.693
2022-09-03,fcre,OGM_pon,2.154
2022-09-03,fcre,OGM_dop,0.029
2022-09-03,fcre,OGM_dopr,0.2607
2022-09-03,fcre,OGM_pop,0.676
2022-09-03,fcre,PHY_cyano,0
2022-09-03,fcre,PHY_green,0
2022-09-03,fcre,PHY_diatom,0
2022-09-04,fcre,FLOW,0.0069
2022-09-04,fcre,TEMP,19.942
2022-09-04,fcre,SALT,0
2022-09-04,fcre,OXY_oxy,267.524
2022-09-04,fcre,CAR_dic,99.781
2022-09-04,fcre,CAR_ch4,NA
2022-09-04,fcre,SIL_rsi,120.9013
2022-09-04,fcre,NIT_amm,1.0089
2022-09-04,fcre,NIT_nit,1.8419
2022-09-04,fcre,PHS_frp,0.2359
2022-09-04,fcre,OGM_doc,12.3231
2022-09-04,fcre,OGM_docr,166.3614
2022-09-04,fcre,OGM_poc,17.8684
2022-09-04,fcre,OGM_don,1.0743
2022-09-04,fcre,OGM_donr,9.669
2022-09-04,fcre,OGM_pon,2.1487
2022-09-04,fcre,OGM_dop,0.0294
2022-09-04,fcre,OGM_dopr,0.2645
2022-09-04,fcre,OGM_pop,0.6857
2022-09-04,fcre,PHY_cyano,0
2022-09-04,fcre,PHY_green,0
2022-09-04,fcre,PHY_diatom,0
2022-09-05,fcre,FLOW,0.0126
2022-09-05,fcre,TEMP,19.6489
2022-09-05,fcre,SALT,0
2022-09-05,fcre,OXY_oxy,269.0985
2022-09-05,fcre,CAR_dic,98.6385
2022-09-05,fcre,CAR_ch4,NA
2022-09-05,fcre,SIL_rsi,120.9013
2022-09-05,fcre,NIT_amm,1.0569
2022-09-05,fcre,NIT_nit,1.7591
2022-09-05,fcre,PHS_frp,0.2331
2022-09-05,fcre,OGM_doc,12.4341
2022-09-05,fcre,OGM_docr,167.8601
2022-09-05,fcre,OGM_poc,18.0294
2022-09-05,fcre,OGM_don,1.0717
2022-09-05,fcre,OGM_donr,9.6451
2022-09-05,fcre,OGM_pon,2.1434
2022-09-05,fcre,OGM_dop,0.0298
2022-09-05,fcre,OGM_dopr,0.2682
2022-09-05,fcre,OGM_pop,0.6953
2022-09-05,fcre,PHY_cyano,0
2022-09-05,fcre,PHY_green,0
2022-09-05,fcre,PHY_diatom,0
2022-09-06,fcre,FLOW,0.0076
2022-09-06,fcre,TEMP,19.9401
2022-09-06,fcre,SALT,0
2022-09-06,fcre,OXY_oxy,267.534
2022-09-06,fcre,CAR_dic,97.496
2022-09-06,fcre,CAR_ch4,NA
2022-09-06,fcre,SIL_rsi,120.9013
2022-09-06,fcre,NIT_amm,1.105
2022-09-06,fcre,NIT_nit,1.6763
2022-09-06,fcre,PHS_frp,0.2302
2022-09-06,fcre,OGM_doc,12.5451
2022-09-06,fcre,OGM_docr,169.3589
2022-09-06,fcre,OGM_poc,18.1904
2022-09-06,fcre,OGM_don,1.069
2022-09-06,fcre,OGM_donr,9.6212
2022-09-06,fcre,OGM_pon,2.138
2022-09-06,fcre,OGM_dop,0.0302
2022-09-06,fcre,OGM_dopr,0.2719
